TaxonName,Family,Lifeform,Longevity,Group
Achillea millefolium,Asteraceae,Herbaceous,Perennial,Dicot
Achyranthes aspera,Amaranthaceae,Herbaceous,Perennial,Dicot
Ageratina altissima,Asteraceae,Herbaceous,Perennial,Dicot
Ageratina aromatica,Asteraceae,Herbaceous,Perennial,Dicot
Amorpha canescens,Fabaceae,Herbaceous,Perennial,Dicot
Andropogon gerardii,Poaceae,Herbaceous,Perennial,Grass
Anemonella thalictroides,Ranunculaceae,Herbaceous,Perennial,Dicot
Arisaema triphyllum,Araceae,Herbaceous,Perennial,Dicot
Artemisia ludoviciana,Asteraceae,Herbaceous,Perennial,Dicot
Asclepias syriaca,Apocynaceae,Herbaceous,Perennial,Dicot
Asclepias tuberosa,Apocynaceae,Herbaceous,Perennial,Dicot
Baptisia australis,Fabaceae,Herbaceous,Perennial,Dicot
Bignonia capreolata,Bignoniaceae,Herbaceous,Perennial,Dicot
Biophytum umbraculum,Oxalidaceae,Herbaceous,Perennial,Dicot
Bouteloua curtipendula,Poaceae,Herbaceous,Perennial,Grass
Campsis radicans,Bignoniaceae,Herbaceous,Perennial,Dicot
Chasmanthium latifolium,Poaceae,Herbaceous,Perennial,Grass
Circaea lutetiana,Onagraceae,Herbaceous,Perennial,Dicot
Commelina dianthifolia,Commelinaceae,Herbaceous,Perennial,Dicot
Conoclinium coelestinum,Asteraceae,Herbaceous,Perennial,Dicot
Crinum moorei,Amaryllidaceae,Herbaceous,Perennial,Monocot
Dianella revoluta,Asphodelaceae,Herbaceous,Perennial,Monocot
Dodecatheon meadia,Primulaceae,Herbaceous,Perennial,Dicot
Echinacea angustifolia,Asteraceae,Herbaceous,Perennial,Dicot
Echinacea pallida,Asteraceae,Herbaceous,Perennial,Dicot
Epilobium angustifolium,Onagraceae,Herbaceous,Perennial,Dicot
Eragrostis curvula,Poaceae,Herbaceous,Perennial,Dicot
Erigeron formosissimus,Asteraceae,Herbaceous,Perennial,Dicot
Erigeron speciosus,Asteraceae,Herbaceous,Perennial,Dicot
Eriospermum abyssinicum,Asparagaceae,Herbaceous,Perennial,Dicot
Euthamia graminifolia,Asteraceae,Herbaceous,Perennial,Dicot
Galium aparine,Rubiaceae,Herbaceous,Annual,Dicot
Geranium maculatum,Geraniaceae,Herbaceous,Perennial,Dicot
Geum triflorum,Rosaceae,Herbaceous,Perennial,Dicot
Iris missouriensis,Iridaceae,Herbaceous,Perennial,Monocot
Kalanchoe rotundifolia,Crassulaceae,Herbaceous,Perennial,Dicot
Koeleria macrantha,Poaceae,Herbaceous,Perennial,Grass
Lupinus argenteus,Fabaceae,Herbaceous,Perennial,Dicot
Lygodium japonicum,Lygodiaceae,Herbaceous,Perennial,Pteridophyte
Malva neglecta,Malvaceae,Herbaceous,Annual,Dicot
Monarda bradburiana,Lamiaceae,Herbaceous,Perennial,Dicot
Monarda fistulosa,Lamiaceae,Herbaceous,Perennial,Dicot
Nassella tenuissima,Poaceae,Herbaceous,Perennial,Grass
Oenothera speciosa,Onagraceae,Herbaceous,Perennial,Dicot
Panicum clandestinum,Poaceae,Herbaceous,Perennial,Grass
Panicum virgatum,Poaceae,Herbaceous,Perennial,Grass
Passiflora edulis,Passifloraceae,Herbaceous,Perennial,Dicot
Pelargonium alchemilloides,Geraniaceae,Herbaceous,Perennial,Dicot
Poa pratensis,Poaceae,Herbaceous,Perennial,Grass
Podophyllum peltatum,Berberidaceae,Herbaceous,Perennial,Dicot
Polemonium reptans,Polemoniaceae,Herbaceous,Perennial,Dicot
Polygonum virginianum,Polygonaceae,Herbaceous,Perennial,Dicot
Pteridium aquilinum,Dennstaedtiaceae,Herbaceous,Perennial,Pteridophyte
Ratibida columnifera,Asteraceae,Herbaceous,Perennial,Dicot
Rudbeckia hirta,Asteraceae,Herbaceous,Perennial,Dicot
Rumex acetosella,Polygonaceae,Herbaceous,Perennial,Dicot
Sanguinaria canadensis,Papaveraceae,Herbaceous,Perennial,Dicot
Sarracenia flava,Sarraceniaceae,Herbaceous,Perennial,Dicot
Schizachyrium scoparium,Poaceae,Herbaceous,Perennial,Grass
Solidago canadensis,Asteraceae,Herbaceous,Perennial,Dicot
Solidago mollis,Asteraceae,Herbaceous,Perennial,Dicot
Solidago virgaurea,Asteraceae,Herbaceous,Perennial,Dicot
Sorghastrum nutans,Poaceae,Herbaceous,Perennial,Dicot
Symphyotrichum ericoides,Asteraceae,Herbaceous,Perennial,Dicot
Symphyotrichum oblongifolium,Asteraceae,Herbaceous,Perennial,Dicot
Symphyotrichum pilosum,Asteraceae,Herbaceous,Perennial,Dicot
Teucrium canadense,Lamiaceae,Herbaceous,Perennial,Dicot
Uvularia grandiflora,Colchicaceae,Herbaceous,Perennial,Dicot
Verbascum thapsus,Scrophulariaceae,Herbaceous,Biennial,Dicot
Viola sororia,Violaceae,Herbaceous,Perennial,Dicot
Woodsia obtusa,Woodsiaceae,Herbaceous,Perennial,Pteridophyte
