AccYear,AccNo,AccNoFull,ItemNo,TaxonName,Genus,Species,InfraType1,InfraName1,InfraType2,InfraName2,Family,ProvenanceCode,ContactCode,ContactNameFull,ItemLocationCode,ItemCoordLatDD,ItemCoordLongDD,ItemCoordX,ItemCoordY,ItemComment,AtrA_Garden_coll,PopNo,PopSpecNo,CollNo,CollDate,Collector,AccComment,CountryCode,CountryName,Subdiv1,Subdiv2,Locality,LocExtRef,Habitat,AltitudeFrom,AltitudeTo,AltitudeUnit,CoordLatDD,CoordLongDD,Datum,ItemType,ItemStatus,TaxonDistribution,OriginName,OriginRef,RecDate,Parent1TaxonName
1000,5165,10005165,A,Cyperus longus,Cyperus,longus,,,,,Cyperaceae,G,5885,Unknown Source,SW8-30,,,,,,,,,,,,Notes: Accession of plants of unknown source by P. Atkinson 24 July 2001.,,,,,,,,,,,,,,Planting,Inspected,Europe,Unknown Source,,,
1000,6444,10006444,A,Carex acutiformis,Carex,acutiformis,,,,,Cyperaceae,U,5885,Unknown Source,SW8-29,,,,,,,,,,,,Notes: Accession of plant of unknown source by P. Atkinson 26 July 2006. .,,,,,,,,,,,,,,Planting,Inspected,Temp. N. Hemisphere,Unknown Source,,,
1000,6445,10006445,A,Carex depauperata,Carex,depauperata,,,,,Cyperaceae,U,5885,Unknown Source,SW8-29,,,,,,,,,,,,Notes: Accession of plant of unknown source by P. Atkinson 26 July 2006. .,,,,,,,,,,,,,,Planting,Inspected,Temp. N. Hemisphere,Unknown Source,,,
1000,6447,10006447,A,Carex pendula,Carex,pendula,,,,,Cyperaceae,U,5885,Unknown Source,SW8-29,,,,,,,,,,,,Notes: Accession of plant of unknown source by P. Atkinson 26 July 2006.,,,,,,,,,,,,,,Planting,Inspected,"Europe, N Africa, SW Asia",Unknown Source,,,
1000,6953,10006953,A,Scirpoides holoschoenus,Scirpoides,holoschoenus,,,,,Cyperaceae,U,5885,Unknown Source,SW8-30,,,,,,,,,,,,Notes: Came in as Holoschoenus vulgaris. Accession of plant of unknown source by P.Atkinson 6 January 2012.,,,,,,,,,,,,,,Planting,Inspected,Europe,Unknown Source,,,
1000,6997,10006997,A,Carex otrubae,Carex,otrubae,,,,,Cyperaceae,U,5885,Unknown Source,SW8-30,,,,,,,,,,,,Notes: Present 1966. Accession of plant of unknown source by P. Atkinson 14 Oct 2013.,,,,,,,,,,,,,,Planting,Inspected,,Unknown Source,,,
1944,28,19440028,A,Carex montana,Carex,montana,,,,,Cyperaceae,W,2043,"Rev. Prof C.E Raven, Christ's College, University of Cambridge",SW8-29,,,,,,,,,,,,Notes: locality not stated in entry book.,,,,,,,,,,,,,,Planting,Inspected,Europe,RAVEN,,,
1949,105,19490105,A,Carex appropinquata,Carex,appropinquata,,,,,Cyperaceae,W,237,S.M. Walters,SW8-29,,,,,,,,,,,"Walters, S.M.",,GBR,United Kingdom,,,Cambridgeshire: Wicken Fen,,,,,,,,,Planting,Inspected,"Europe, SW Asia",Walters,,1949-09,
1950,142,19500142,A,Carex montana,Carex,montana,,,,,Cyperaceae,W,2043,"Rev. Prof C.E Raven, Christ's College, University of Cambridge",SW8-29,,,,,,,,,,,,,GBR,United Kingdom,,,nr. Cheptsow,,,,,,,,,Planting,Inspected,Europe,RAVEN,,,
1952,182,19520182,A,Carex humilis,Carex,humilis,,,,,Cyperaceae,W,65,"Professor David Coombe, Department of Plant Sciences, University of Cambridge, Cambridge, United Kingdom",SW8-29,,,,,,,,,,,"Coombe, D.E.",,DEU,Germany,,,Nanetal: Rottenburg,,,,,,,,,Planting,Inspected,Eurasia,"Coombe, D.E.",,,
1956,314,19560314,A,Carex secta,Carex,secta,,,,,Cyperaceae,W,58,"Chelsea Physic Garden, Chelsea Physic Garden, London, United Kingdom",SW8-29,,,,,,,,,,,,,,,,,,,,,,,,,,Planting,Inspected,New Zealand,Chelsea,,,
1976,34,19760034,A,Carex muricata subsp. lamprocarpa,Carex,muricata,subsp.,lamprocarpa,,,Cyperaceae,W,5884,R.W. David,SW8-30,,,,,,,,,,,,,GBR,United Kingdom,,,Beechamwell: GR 53/743035,,,,,,,,,Planting,Inspected,W Europe,"David, R.W.",,,
2011,254,20110254,A,Carex flagellifera,Carex,flagellifera,,,,,Cyperaceae,G,5947,"David Howard, Howards Nurseries Limited",SW8-29,,,,,,,,,,,,,,,,,,,,,,,,,,Planting,Inspected,New Zealand,Howards Nurseries,,2011-04-04,
